"","Area.Code","Area","Item.Code","Item","Element","Year","Value"
"175",201,"Somalia",6655,"Land under perm. meadows and pastures","Area",2018,4.3e+07
"176",202,"South Africa",6655,"Land under perm. meadows and pastures","Area",2018,83928000
"177",277,"South Sudan",6655,"Land under perm. meadows and pastures","Area",2018,25773200
"178",203,"Spain",6655,"Land under perm. meadows and pastures","Area",2018,9412960
"179",38,"Sri Lanka",6655,"Land under perm. meadows and pastures","Area",2018,440000
"180",276,"Sudan",6655,"Land under perm. meadows and pastures","Area",2018,48195000
"181",207,"Suriname",6655,"Land under perm. meadows and pastures","Area",2018,16000
"182",210,"Sweden",6655,"Land under perm. meadows and pastures","Area",2018,455140
"183",211,"Switzerland",6655,"Land under perm. meadows and pastures","Area",2018,1086715.3
"184",212,"Syrian Arab Republic",6655,"Land under perm. meadows and pastures","Area",2018,8188000
"185",208,"Tajikistan",6655,"Land under perm. meadows and pastures","Area",2018,3875000
"186",216,"Thailand",6655,"Land under perm. meadows and pastures","Area",2018,8e+05
"187",176,"Timor-Leste",6655,"Land under perm. meadows and pastures","Area",2018,150000
"188",217,"Togo",6655,"Land under perm. meadows and pastures","Area",2018,1e+06
"189",219,"Tonga",6655,"Land under perm. meadows and pastures","Area",2018,4000
"190",220,"Trinidad and Tobago",6655,"Land under perm. meadows and pastures","Area",2018,7000
"191",222,"Tunisia",6655,"Land under perm. meadows and pastures","Area",2018,4750000
"192",223,"Turkey",6655,"Land under perm. meadows and pastures","Area",2018,14617000
"193",213,"Turkmenistan",6655,"Land under perm. meadows and pastures","Area",2018,31838000
"194",226,"Uganda",6655,"Land under perm. meadows and pastures","Area",2018,5315000
"195",230,"Ukraine",6655,"Land under perm. meadows and pastures","Area",2018,7577000
"196",225,"United Arab Emirates",6655,"Land under perm. meadows and pastures","Area",2018,3e+05
"197",229,"United Kingdom of Great Britain and Northern Ireland",6655,"Land under perm. meadows and pastures","Area",2018,11266908.6
"198",215,"United Republic of Tanzania",6655,"Land under perm. meadows and pastures","Area",2018,2.4e+07
"199",231,"United States of America",6655,"Land under perm. meadows and pastures","Area",2018,245373553.8
"200",240,"United States Virgin Islands",6655,"Land under perm. meadows and pastures","Area",2018,2200
"201",234,"Uruguay",6655,"Land under perm. meadows and pastures","Area",2018,1.2e+07
"202",235,"Uzbekistan",6655,"Land under perm. meadows and pastures","Area",2018,21102500
"203",155,"Vanuatu",6655,"Land under perm. meadows and pastures","Area",2018,42000
"204",236,"Venezuela (Bolivarian Republic of)",6655,"Land under perm. meadows and pastures","Area",2018,18200000
"205",237,"Viet Nam",6655,"Land under perm. meadows and pastures","Area",2018,642000
"206",205,"Western Sahara",6655,"Land under perm. meadows and pastures","Area",2018,5e+06
"207",249,"Yemen",6655,"Land under perm. meadows and pastures","Area",2018,2.2e+07
"208",251,"Zambia",6655,"Land under perm. meadows and pastures","Area",2018,2e+07
"209",181,"Zimbabwe",6655,"Land under perm. meadows and pastures","Area",2018,12100000
"210",5000,"World",6655,"Land under perm. meadows and pastures","Area",2018,3193180826.6
"211",5100,"Africa",6655,"Land under perm. meadows and pastures","Area",2018,842870172
"212",5101,"Eastern Africa",6655,"Land under perm. meadows and pastures","Area",2018,255622872
"213",5102,"Middle Africa",6655,"Land under perm. meadows and pastures","Area",2018,131960130
"214",5103,"Northern Africa",6655,"Land under perm. meadows and pastures","Area",2018,125086830
"215",5104,"Southern Africa",6655,"Land under perm. meadows and pastures","Area",2018,150560000
"216",5105,"Western Africa",6655,"Land under perm. meadows and pastures","Area",2018,179640340
"217",5200,"Americas",6655,"Land under perm. meadows and pastures","Area",2018,759476034.8
"218",5203,"Northern America",6655,"Land under perm. meadows and pastures","Area",2018,264958663.8
"219",5204,"Central America",6655,"Land under perm. meadows and pastures","Area",2018,83983700
"220",5206,"Caribbean",6655,"Land under perm. meadows and pastures","Area",2018,4830320
"221",5207,"South America",6655,"Land under perm. meadows and pastures","Area",2018,405703351
"222",5300,"Asia",6655,"Land under perm. meadows and pastures","Area",2018,1079623192
"223",5301,"Central Asia",6655,"Land under perm. meadows and pastures","Area",2018,251977400
"224",5302,"Eastern Asia",6655,"Land under perm. meadows and pastures","Area",2018,505040600
"225",5303,"Southern Asia",6655,"Land under perm. meadows and pastures","Area",2018,77987300
"226",5304,"South-eastern Asia",6655,"Land under perm. meadows and pastures","Area",2018,16854100
"227",5305,"Western Asia",6655,"Land under perm. meadows and pastures","Area",2018,227763792
"228",5400,"Europe",6655,"Land under perm. meadows and pastures","Area",2018,173072457.8
"229",5401,"Eastern Europe",6655,"Land under perm. meadows and pastures","Area",2018,113750100
"230",5402,"Northern Europe",6655,"Land under perm. meadows and pastures","Area",2018,19719186.5
"231",5403,"Southern Europe",6655,"Land under perm. meadows and pastures","Area",2018,21701251
"232",5404,"Western Europe",6655,"Land under perm. meadows and pastures","Area",2018,17901920.3
"233",5500,"Oceania",6655,"Land under perm. meadows and pastures","Area",2018,338138970
"234",5501,"Australia and New Zealand",6655,"Land under perm. meadows and pastures","Area",2018,337499000
"235",5502,"Melanesia",6655,"Land under perm. meadows and pastures","Area",2018,589330
"236",5503,"Micronesia",6655,"Land under perm. meadows and pastures","Area",2018,13470
"237",5504,"Polynesia",6655,"Land under perm. meadows and pastures","Area",2018,37170
"238",5706,"European Union (28)",6655,"Land under perm. meadows and pastures","Area",2018,64129125.5
"239",5707,"European Union (27)",6655,"Land under perm. meadows and pastures","Area",2018,52862217
"240",5801,"Least Developed Countries",6655,"Land under perm. meadows and pastures","Area",2018,578911672
"241",5802,"Land Locked Developing Countries",6655,"Land under perm. meadows and pastures","Area",2018,683891800
"242",5803,"Small Island Developing States",6655,"Land under perm. meadows and pastures","Area",2018,6785650
"243",5815,"Low Income Food Deficit Countries",6655,"Land under perm. meadows and pastures","Area",2018,626477522
"244",5817,"Net Food Importing Developing Countries",6655,"Land under perm. meadows and pastures","Area",2018,867215512
"245",2,"Afghanistan",221,"Almonds, with shell","Area harvested",2018,20053
"246",2,"Afghanistan",711,"Anise, badian, fennel, coriander","Area harvested",2018,26725
"247",2,"Afghanistan",515,"Apples","Area harvested",2018,28381
"248",2,"Afghanistan",526,"Apricots","Area harvested",2018,18510
"249",2,"Afghanistan",44,"Barley","Area harvested",2018,84147
"250",2,"Afghanistan",558,"Berries nes","Area harvested",2018,5553
"251",2,"Afghanistan",569,"Figs","Area harvested",2018,1644
"252",2,"Afghanistan",512,"Fruit, citrus nes","Area harvested",2018,1700
"253",2,"Afghanistan",619,"Fruit, fresh nes","Area harvested",2018,6168
"254",2,"Afghanistan",541,"Fruit, stone nes","Area harvested",2018,7578
"255",2,"Afghanistan",560,"Grapes","Area harvested",2018,87517
"256",2,"Afghanistan",333,"Linseed","Area harvested",2018,34458
"257",2,"Afghanistan",56,"Maize","Area harvested",2018,72433
"258",2,"Afghanistan",568,"Melons, other (inc.cantaloupes)","Area harvested",2018,35798
"259",2,"Afghanistan",79,"Millet","Area harvested",2018,2307
"260",2,"Afghanistan",234,"Nuts nes","Area harvested",2018,1622
"261",2,"Afghanistan",260,"Olives","Area harvested",2018,2247
"262",2,"Afghanistan",403,"Onions, dry","Area harvested",2018,10551
"263",2,"Afghanistan",490,"Oranges","Area harvested",2018,970
"264",2,"Afghanistan",534,"Peaches and nectarines","Area harvested",2018,7799
"265",2,"Afghanistan",521,"Pears","Area harvested",2018,1806
"266",2,"Afghanistan",223,"Pistachios","Area harvested",2018,2188
"267",2,"Afghanistan",536,"Plums and sloes","Area harvested",2018,3083
"268",2,"Afghanistan",116,"Potatoes","Area harvested",2018,32400
"269",2,"Afghanistan",211,"Pulses nes","Area harvested",2018,61166
"270",2,"Afghanistan",27,"Rice, paddy","Area harvested",2018,117539
"271",2,"Afghanistan",328,"Seed cotton","Area harvested",2018,39496
"272",2,"Afghanistan",289,"Sesame seed","Area harvested",2018,15000
"273",2,"Afghanistan",723,"Spices nes","Area harvested",2018,2144
"274",2,"Afghanistan",157,"Sugar beet","Area harvested",2018,196
"275",2,"Afghanistan",156,"Sugar cane","Area harvested",2018,1766
"276",2,"Afghanistan",267,"Sunflower seed","Area harvested",2018,612
"277",2,"Afghanistan",463,"Vegetables, fresh nes","Area harvested",2018,81453
"278",2,"Afghanistan",222,"Walnuts, with shell","Area harvested",2018,4814
"279",2,"Afghanistan",567,"Watermelons","Area harvested",2018,25519
"280",2,"Afghanistan",15,"Wheat","Area harvested",2018,1635000
"281",2,"Afghanistan",1717,"Cereals, Total","Area harvested",2018,1911426
"282",2,"Afghanistan",1804,"Citrus Fruit, Total","Area harvested",2018,2670
"283",2,"Afghanistan",1753,"Fibre Crops Primary","Area harvested",2018,39496
"284",2,"Afghanistan",1738,"Fruit Primary","Area harvested",2018,232026
"285",2,"Afghanistan",1731,"Oilcrops","Area harvested",2018,91813
"286",2,"Afghanistan",1841,"Oilcrops, Cake Equivalent","Area harvested",2018,89566
"287",2,"Afghanistan",1732,"Oilcrops, Oil Equivalent","Area harvested",2018,91813
"288",2,"Afghanistan",1726,"Pulses, Total","Area harvested",2018,61166
"289",2,"Afghanistan",1720,"Roots and Tubers, Total","Area harvested",2018,32400
"290",2,"Afghanistan",1723,"Sugar Crops Primary","Area harvested",2018,1962
"291",2,"Afghanistan",1729,"Treenuts, Total","Area harvested",2018,28677
"292",2,"Afghanistan",1735,"Vegetables Primary","Area harvested",2018,92004
"293",3,"Albania",515,"Apples","Area harvested",2018,4294
"294",3,"Albania",526,"Apricots","Area harvested",2018,337
"295",3,"Albania",44,"Barley","Area harvested",2018,3397
"296",3,"Albania",176,"Beans, dry","Area harvested",2018,13373
"297",3,"Albania",414,"Beans, green","Area harvested",2018,883
"298",3,"Albania",181,"Broad beans, horse beans, dry","Area harvested",2018,168
"299",3,"Albania",358,"Cabbages and other brassicas","Area harvested",2018,1733
"300",3,"Albania",426,"Carrots and turnips","Area harvested",2018,325
"301",3,"Albania",393,"Cauliflowers and broccoli","Area harvested",2018,220
"302",3,"Albania",531,"Cherries","Area harvested",2018,2120
"303",3,"Albania",530,"Cherries, sour","Area harvested",2018,3134
"304",3,"Albania",220,"Chestnut","Area harvested",2018,2406
"305",3,"Albania",401,"Chillies and peppers, green","Area harvested",2018,2960
"306",3,"Albania",397,"Cucumbers and gherkins","Area harvested",2018,2576
"307",3,"Albania",577,"Dates","Area harvested",2018,482
"308",3,"Albania",399,"Eggplants (aubergines)","Area harvested",2018,1168
"309",3,"Albania",569,"Figs","Area harvested",2018,1482
"310",3,"Albania",512,"Fruit, citrus nes","Area harvested",2018,1
"311",3,"Albania",619,"Fruit, fresh nes","Area harvested",2018,105
"312",3,"Albania",541,"Fruit, stone nes","Area harvested",2018,NA
"313",3,"Albania",406,"Garlic","Area harvested",2018,905
"314",3,"Albania",560,"Grapes","Area harvested",2018,10179
"315",3,"Albania",677,"Hops","Area harvested",2018,2833
"316",3,"Albania",407,"Leeks, other alliaceous vegetables","Area harvested",2018,1519
"317",3,"Albania",497,"Lemons and limes","Area harvested",2018,580
"318",3,"Albania",372,"Lettuce and chicory","Area harvested",2018,1345
"319",3,"Albania",56,"Maize","Area harvested",2018,54115
"320",3,"Albania",568,"Melons, other (inc.cantaloupes)","Area harvested",2018,1560
"321",3,"Albania",449,"Mushrooms and truffles","Area harvested",2018,NA
"322",3,"Albania",234,"Nuts nes","Area harvested",2018,780
"323",3,"Albania",75,"Oats","Area harvested",2018,16550
"324",3,"Albania",430,"Okra","Area harvested",2018,0
"325",3,"Albania",260,"Olives","Area harvested",2018,46378
"326",3,"Albania",403,"Onions, dry","Area harvested",2018,5149
"327",3,"Albania",402,"Onions, shallots, green","Area harvested",2018,1820
"328",3,"Albania",490,"Oranges","Area harvested",2018,227
"329",3,"Albania",534,"Peaches and nectarines","Area harvested",2018,1229
"330",3,"Albania",521,"Pears","Area harvested",2018,733
"331",3,"Albania",417,"Peas, green","Area harvested",2018,445
"332",3,"Albania",536,"Plums and sloes","Area harvested",2018,2537
"333",3,"Albania",116,"Potatoes","Area harvested",2018,9726
"334",3,"Albania",211,"Pulses nes","Area harvested",2018,1118
"335",3,"Albania",394,"Pumpkins, squash and gourds","Area harvested",2018,642
"336",3,"Albania",523,"Quinces","Area harvested",2018,860
"337",3,"Albania",27,"Rice, paddy","Area harvested",2018,NA
"338",3,"Albania",71,"Rye","Area harvested",2018,976
"339",3,"Albania",328,"Seed cotton","Area harvested",2018,740
"340",3,"Albania",83,"Sorghum","Area harvested",2018,NA
"341",3,"Albania",236,"Soybeans","Area harvested",2018,253
"342",3,"Albania",723,"Spices nes","Area harvested",2018,407
"343",3,"Albania",373,"Spinach","Area harvested",2018,1410
"344",3,"Albania",544,"Strawberries","Area harvested",2018,111
"345",3,"Albania",157,"Sugar beet","Area harvested",2018,702
"346",3,"Albania",267,"Sunflower seed","Area harvested",2018,371
"347",3,"Albania",495,"Tangerines, mandarins, clementines, satsumas","Area harvested",2018,811
"348",3,"Albania",826,"Tobacco, unmanufactured","Area harvested",2018,1004
"349",3,"Albania",388,"Tomatoes","Area harvested",2018,6587
"350",3,"Albania",463,"Vegetables, fresh nes","Area harvested",2018,1315
"351",3,"Albania",420,"Vegetables, leguminous nes","Area harvested",2018,19
"352",3,"Albania",205,"Vetches","Area harvested",2018,6854
"353",3,"Albania",567,"Watermelons","Area harvested",2018,5681
"354",3,"Albania",15,"Wheat","Area harvested",2018,65072
"355",3,"Albania",1717,"Cereals, Total","Area harvested",2018,140110
"356",3,"Albania",1804,"Citrus Fruit, Total","Area harvested",2018,1619
"357",3,"Albania",1753,"Fibre Crops Primary","Area harvested",2018,740
"358",3,"Albania",1738,"Fruit Primary","Area harvested",2018,36463
"359",3,"Albania",1731,"Oilcrops","Area harvested",2018,47742
"360",3,"Albania",1841,"Oilcrops, Cake Equivalent","Area harvested",2018,1364
"361",3,"Albania",1732,"Oilcrops, Oil Equivalent","Area harvested",2018,47742
